gene	description
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X4;transcript_id=XM_045824042.1
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X6;transcript_id=XM_045824221.1
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X2;transcript_id=XM_045823980.1
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X3;transcript_id=XM_045823989.1
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X1;transcript_id=XM_045823923.1
CFAP210	cilia and flagella associated protein 210;transcript_id=XM_045830273.1
PPIG	peptidylprolyl isomerase G%2C transcript variant X1;transcript_id=XM_045831419.1
PPIG	peptidylprolyl isomerase G%2C transcript variant X3;transcript_id=XM_045831431.1
PPIG	peptidylprolyl isomerase G%2C transcript variant X4;transcript_id=XM_045831438.1
PPIG	peptidylprolyl isomerase G%2C transcript variant X5;transcript_id=XM_045831448.1
PPIG	peptidylprolyl isomerase G%2C transcript variant X2;transcript_id=XM_045831424.1
LOC123814396	U6 spliceosomal RNA;transcript_id=XR_006784901.1
FASTKD1	FAST kinase domains 1%2C transcript variant X3;transcript_id=XM_045831400.1
FASTKD1	FAST kinase domains 1%2C transcript variant X2;transcript_id=XM_045831393.1
FASTKD1	FAST kinase domains 1%2C transcript variant X1;transcript_id=XM_045831386.1
FASTKD1	FAST kinase domains 1%2C transcript variant X5;transcript_id=XM_045831411.1
FASTKD1	FAST kinase domains 1%2C transcript variant X4;transcript_id=XM_045831405.1
KLHL41	kelch like family member 41;transcript_id=XM_045831461.1
BBS5	Bardet-Biedl syndrome 5;transcript_id=XM_045819737.1
LRP2	LDL receptor related protein 2%2C transcript variant X1;transcript_id=XM_045860549.1
LRP2	LDL receptor related protein 2%2C transcript variant X2;transcript_id=XM_045860633.1
LOC123814479	small nucleolar RNA U13;transcript_id=XR_006784922.1
DHRS9	dehydrogenase/reductase 9%2C transcript variant X1;transcript_id=XM_045831595.1
DHRS9	dehydrogenase/reductase 9%2C transcript variant X4;transcript_id=XM_045831623.1
DHRS9	dehydrogenase/reductase 9%2C transcript variant X2;transcript_id=XM_045831603.1
DHRS9	dehydrogenase/reductase 9%2C transcript variant X3;transcript_id=XM_045831612.1
DHRS9	dehydrogenase/reductase 9%2C transcript variant X5;transcript_id=XM_045831630.1
ABCB11	ATP binding cassette subfamily B member 11%2C transcript variant X1;transcript_id=XM_045842402.1
ABCB11	ATP binding cassette subfamily B member 11%2C transcript variant X2;transcript_id=XM_045842431.1
ABCB11	ATP binding cassette subfamily B member 11%2C transcript variant X3;transcript_id=XM_045842465.1
ABCB11	ATP binding cassette subfamily B member 11%2C transcript variant X4;transcript_id=XM_045842523.1
G6PC2	glucose-6-phosphatase catalytic subunit 2;transcript_id=XM_045842648.1
SPC25	SPC25 component of NDC80 kinetochore complex;transcript_id=XM_045828256.1
NOSTRIN	nitric oxide synthase trafficking%2C transcript variant X3;transcript_id=XM_045831505.1
NOSTRIN	nitric oxide synthase trafficking%2C transcript variant X2;transcript_id=XM_045831496.1
NOSTRIN	nitric oxide synthase trafficking%2C transcript variant X1;transcript_id=XM_045831487.1
NOSTRIN	nitric oxide synthase trafficking%2C transcript variant X5;transcript_id=XM_045831521.1
NOSTRIN	nitric oxide synthase trafficking%2C transcript variant X4;transcript_id=XM_045831514.1
CERS6	ceramide synthase 6%2C transcript variant X2;transcript_id=XM_045846986.1
CERS6	ceramide synthase 6%2C transcript variant X1;transcript_id=XM_045846925.1
STK39	serine/threonine kinase 39;transcript_id=XM_045830811.1
B3GALT1	beta-1%2C3-galactosyltransferase 1%2C transcript variant X2;transcript_id=XM_045836629.1
B3GALT1	beta-1%2C3-galactosyltransferase 1%2C transcript variant X1;transcript_id=XM_045835835.1
B3GALT1	beta-1%2C3-galactosyltransferase 1%2C transcript variant X3;transcript_id=XM_045837389.1
XIRP2	xin actin binding repeat containing 2%2C transcript variant X2;transcript_id=XM_045833007.1
XIRP2	xin actin binding repeat containing 2%2C transcript variant X1;transcript_id=XM_045832923.1
SCN7A	sodium voltage-gated channel alpha subunit 7%2C transcript variant X1;transcript_id=XM_045858705.1
SCN7A	sodium voltage-gated channel alpha subunit 7%2C transcript variant X2;transcript_id=XM_045858782.1
SCN7A	sodium voltage-gated channel alpha subunit 7%2C transcript variant X3;transcript_id=XM_045858861.1
SCN7A	sodium voltage-gated channel alpha subunit 7%2C transcript variant X4;transcript_id=XM_045858949.1
LOC123822767	uncharacterized LOC123822767;transcript_id=XR_006786417.1
SCN9A	sodium voltage-gated channel alpha subunit 9;transcript_id=XM_045835956.1
LOC123827779	sodium channel protein type 1 subunit alpha-like;transcript_id=XM_045852276.1
LOC123814469	small nucleolar RNA SNORA40;transcript_id=XR_006784918.1
TTC21B	tetratricopeptide repeat domain 21B;transcript_id=XM_045830839.1
LOC123812060	uncharacterized LOC123812060;transcript_id=XR_006784481.1
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3%2C transcript variant X2;transcript_id=XM_045828624.1
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3%2C transcript variant X1;transcript_id=XM_045828541.1
CSRNP3	cysteine and serine rich nuclear protein 3%2C transcript variant X1;transcript_id=XM_045860726.1
CSRNP3	cysteine and serine rich nuclear protein 3%2C transcript variant X3;transcript_id=XM_045860906.1
CSRNP3	cysteine and serine rich nuclear protein 3%2C transcript variant X2;transcript_id=XM_045860812.1
SCN2A	sodium voltage-gated channel alpha subunit 2;transcript_id=XM_045842778.1
LOC123814483	small nucleolar RNA U13;transcript_id=XR_006784923.1
SCN3A	sodium voltage-gated channel alpha subunit 3;transcript_id=XM_045846129.1
SLC38A11	solute carrier family 38 member 11%2C transcript variant X1;transcript_id=XM_045825326.1
SLC38A11	solute carrier family 38 member 11%2C transcript variant X3;transcript_id=XM_045825503.1
SLC38A11	solute carrier family 38 member 11%2C transcript variant X2;transcript_id=XM_045825408.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X1;transcript_id=XM_045843100.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X7;transcript_id=XM_045843562.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X2;transcript_id=XM_045843184.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X3;transcript_id=XM_045843271.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X9;transcript_id=XM_045843696.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X4;transcript_id=XM_045843362.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X5;transcript_id=XM_045843444.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X8;transcript_id=XM_045843612.1
COBLL1	cordon-bleu WH2 repeat protein like 1%2C transcript variant X6;transcript_id=XM_045843528.1
LOC123813776	uncharacterized LOC123813776%2C transcript variant X1;transcript_id=XR_006784811.1
LOC123813776	uncharacterized LOC123813776%2C transcript variant X2;transcript_id=XR_006784812.1
GRB14	growth factor receptor bound protein 14%2C transcript variant X1;transcript_id=XM_045831076.1
GRB14	growth factor receptor bound protein 14%2C transcript variant X2;transcript_id=XM_045831085.1
FIGN	fidgetin%2C microtubule severing factor%2C transcript variant X1;transcript_id=XM_045851632.1
FIGN	fidgetin%2C microtubule severing factor%2C transcript variant X2;transcript_id=XM_045852197.1
KCNH7	potassium voltage-gated channel subfamily H member 7;transcript_id=XM_045819059.1
GCA	grancalcin%2C transcript variant X2;transcript_id=XM_045860086.1
GCA	grancalcin%2C transcript variant X1;transcript_id=XM_045860051.1
IFIH1	interferon induced with helicase C domain 1%2C transcript variant X2;transcript_id=XM_045830782.1
IFIH1	interferon induced with helicase C domain 1%2C transcript variant X3;transcript_id=XM_045830789.1
IFIH1	interferon induced with helicase C domain 1%2C transcript variant X1;transcript_id=XM_045830772.1
LOC123833266	fibroblast activation protein alpha;transcript_id=XM_045861421.1
LOC123833334	uncharacterized LOC123833334;transcript_id=XR_006788218.1
GCG	glucagon%2C transcript variant X1;transcript_id=XM_045828362.1
GCG	glucagon%2C transcript variant X2;transcript_id=XM_045828440.1
DPP4	dipeptidyl peptidase 4;transcript_id=XM_045859078.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X4;transcript_id=XM_045850821.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X6;transcript_id=XM_045850997.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X2;transcript_id=XM_045850689.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X5;transcript_id=XM_045850905.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X3;transcript_id=XM_045850739.1
SLC4A10	solute carrier family 4 member 10%2C transcript variant X1;transcript_id=XM_045850620.1
TBR1	T-box brain transcription factor 1;transcript_id=XM_045828914.1
PSMD14	proteasome 26S subunit%2C non-ATPase 14;transcript_id=XM_045855864.1
LOC123814393	U6 spliceosomal RNA;transcript_id=XR_006784896.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X4;transcript_id=XM_045830548.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X7;transcript_id=XM_045830574.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X9;transcript_id=XM_045830588.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X2;transcript_id=XM_045830529.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X6;transcript_id=XM_045830566.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X1;transcript_id=XM_045830520.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X10;transcript_id=XM_045830595.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X3;transcript_id=XM_045830539.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X5;transcript_id=XM_045830557.1
TANK	TRAF family member associated NFKB activator%2C transcript variant X8;transcript_id=XM_045830582.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X1;transcript_id=XM_045845013.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X6;transcript_id=XM_045845394.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X4;transcript_id=XM_045845239.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X7;transcript_id=XM_045845476.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X2;transcript_id=XM_045845069.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X5;transcript_id=XM_045845322.1
RBMS1	RNA binding motif single stranded interacting protein 1%2C transcript variant X3;transcript_id=XM_045845147.1
ITGB6	integrin subunit beta 6%2C transcript variant X1;transcript_id=XM_045853130.1
ITGB6	integrin subunit beta 6%2C transcript variant X3;transcript_id=XM_045853294.1
ITGB6	integrin subunit beta 6%2C transcript variant X2;transcript_id=XM_045853213.1
ITGB6	integrin subunit beta 6%2C transcript variant X4;transcript_id=XM_045853382.1
PLA2R1	phospholipase A2 receptor 1%2C transcript variant X1;transcript_id=XM_045830634.1
PLA2R1	phospholipase A2 receptor 1%2C transcript variant X2;transcript_id=XM_045830644.1
LOC123807994	lymphocyte antigen 75%2C transcript variant X1;transcript_id=XM_045822202.1
LOC123807994	lymphocyte antigen 75%2C transcript variant X2;transcript_id=XM_045822289.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X3;transcript_id=XR_006783767.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X6;transcript_id=XM_045822812.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X1;transcript_id=XM_045822419.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X4;transcript_id=XM_045822640.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X2;transcript_id=XM_045822510.1
MARCHF7	membrane associated ring-CH-type finger 7%2C transcript variant X5;transcript_id=XM_045822730.1
BAZ2B	bromodomain adjacent to zinc finger domain 2B%2C transcript variant X1;transcript_id=XM_045821942.1
BAZ2B	bromodomain adjacent to zinc finger domain 2B%2C transcript variant X2;transcript_id=XM_045821977.1
BAZ2B	bromodomain adjacent to zinc finger domain 2B%2C transcript variant X3;transcript_id=XM_045822067.1
LOC123814343	U2 spliceosomal RNA;transcript_id=XR_006784890.1
WDSUB1	WD repeat%2C sterile alpha motif and U-box domain containing 1%2C transcript variant X1;transcript_id=XM_045829840.1
WDSUB1	WD repeat%2C sterile alpha motif and U-box domain containing 1%2C transcript variant X3;transcript_id=XM_045829982.1
WDSUB1	WD repeat%2C sterile alpha motif and U-box domain containing 1%2C transcript variant X4;transcript_id=XM_045830067.1
WDSUB1	WD repeat%2C sterile alpha motif and U-box domain containing 1%2C transcript variant X2;transcript_id=XM_045829921.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X5;transcript_id=XM_045837935.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X2;transcript_id=XM_045837722.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X4;transcript_id=XM_045837884.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X6;transcript_id=XM_045838030.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X1;transcript_id=XM_045837666.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X3;transcript_id=XM_045837808.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X7;transcript_id=XM_045838097.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X8;transcript_id=XM_045838173.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X10;transcript_id=XM_045838319.1
TANC1	tetratricopeptide repeat%2C ankyrin repeat and coiled-coil containing 1%2C transcript variant X9;transcript_id=XM_045838232.1
LOC123814368	U2 spliceosomal RNA;transcript_id=XR_006784892.1
DAPL1	death associated protein like 1%2C transcript variant X2;transcript_id=XM_045826526.1
DAPL1	death associated protein like 1%2C transcript variant X1;transcript_id=XM_045826434.1
PKP4	plakophilin 4%2C transcript variant X14;transcript_id=XM_045840318.1
PKP4	plakophilin 4%2C transcript variant X13;transcript_id=XM_045840234.1
PKP4	plakophilin 4%2C transcript variant X2;transcript_id=XM_045839468.1
PKP4	plakophilin 4%2C transcript variant X4;transcript_id=XM_045839598.1
PKP4	plakophilin 4%2C transcript variant X5;transcript_id=XM_045839669.1
PKP4	plakophilin 4%2C transcript variant X3;transcript_id=XM_045839541.1
PKP4	plakophilin 4%2C transcript variant X1;transcript_id=XM_045839424.1
PKP4	plakophilin 4%2C transcript variant X9;transcript_id=XM_045839947.1
PKP4	plakophilin 4%2C transcript variant X7;transcript_id=XM_045839810.1
PKP4	plakophilin 4%2C transcript variant X10;transcript_id=XM_045840005.1
PKP4	plakophilin 4%2C transcript variant X8;transcript_id=XM_045839875.1
PKP4	plakophilin 4%2C transcript variant X6;transcript_id=XM_045839741.1
PKP4	plakophilin 4%2C transcript variant X12;transcript_id=XM_045840151.1
PKP4	plakophilin 4%2C transcript variant X11;transcript_id=XM_045840066.1
CCDC148	coiled-coil domain containing 148;transcript_id=XM_045819379.1
LOC123806372	ribosome biogenesis protein NSA2 homolog;transcript_id=XM_045819512.1
UPP2	uridine phosphorylase 2;transcript_id=XM_045837610.1
LOC123806113	uncharacterized LOC123806113%2C transcript variant X3;transcript_id=XR_006783440.1
LOC123806113	uncharacterized LOC123806113%2C transcript variant X1;transcript_id=XR_006783427.1
LOC123806113	uncharacterized LOC123806113%2C transcript variant X2;transcript_id=XR_006783431.1
ACVR1	activin A receptor type 1%2C transcript variant X2;transcript_id=XM_045861666.1
ACVR1	activin A receptor type 1%2C transcript variant X6;transcript_id=XM_045816601.1
ACVR1	activin A receptor type 1%2C transcript variant X1;transcript_id=XM_045861618.1
ACVR1	activin A receptor type 1%2C transcript variant X5;transcript_id=XM_045816510.1
ACVR1	activin A receptor type 1%2C transcript variant X3;transcript_id=XM_045861753.1
ACVR1	activin A receptor type 1%2C transcript variant X4;transcript_id=XM_045816419.1
ACVR1C	activin A receptor type 1C;transcript_id=XM_045857977.1
LOC123813229	cytohesin 1 interacting protein%2C transcript variant X2;transcript_id=XM_045830234.1
