gene	description
SP3	Sp3 transcription factor%2C transcript variant X1;transcript_id=XM_045844770.1
LOC123813632	uncharacterized LOC123813632;transcript_id=XR_006784790.1
CDCA7	cell division cycle associated 7%2C transcript variant X1;transcript_id=XM_045831666.1
CDCA7	cell division cycle associated 7%2C transcript variant X2;transcript_id=XM_045831675.1
CDCA7	cell division cycle associated 7%2C transcript variant X3;transcript_id=XM_045831684.1
MAP3K20	mitogen-activated protein kinase kinase kinase 20%2C transcript variant X1;transcript_id=XM_045856846.1
MAP3K20	mitogen-activated protein kinase kinase kinase 20%2C transcript variant X2;transcript_id=XM_045857604.1
MAP3K20	mitogen-activated protein kinase kinase kinase 20%2C transcript variant X3;transcript_id=XM_045858324.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X2;transcript_id=XM_045817903.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X1;transcript_id=XM_045817825.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X5;transcript_id=XM_045818158.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X6;transcript_id=XM_045818236.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X7;transcript_id=XM_045818300.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X12;transcript_id=XM_045818680.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X8;transcript_id=XM_045818361.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X3;transcript_id=XM_045817994.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X4;transcript_id=XM_045818077.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X9;transcript_id=XM_045818442.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X10;transcript_id=XM_045818519.1
RAPGEF4	Rap guanine nucleotide exchange factor 4%2C transcript variant X11;transcript_id=XM_045818595.1
PDK1	pyruvate dehydrogenase kinase 1;transcript_id=XM_045842282.1
ITGA6	integrin subunit alpha 6%2C transcript variant X1;transcript_id=XM_045847238.1
ITGA6	integrin subunit alpha 6%2C transcript variant X2;transcript_id=XM_045847310.1
LOC123813908	uncharacterized LOC123813908;transcript_id=XR_006784817.1
LOC123814444	small nucleolar RNA SNORA61;transcript_id=XR_006784912.1
DLX2	distal-less homeobox 2;transcript_id=XM_045831138.1
DLX1	distal-less homeobox 1;transcript_id=XM_045829612.1
