,Phase,Phase.batch,Band,Ban_Yr_Mo,Trtmt,Additive,Temp,Duration,SampleTime,DecTime,Sex,Est.Age,Cave,Site,Group,FA,WT,TTH,STATUS,LN.N.L..
Phase5.b1.S27,5,Phase5.b1,6270,6270_2024_1,C,PBS,38C,3,4:14 pm,16.23,M,4.4,Tamana,Rd Chamber,L18,86.44,95.2,1.5,B,0.323065576
Phase5.b1.S28,5,Phase5.b1,6270,6270_2024_1,TH,LPS_1,38C,3,4:14 pm,16.23,M,4.4,Tamana,Rd Chamber,L18,86.44,95.2,1.5,B,0.323065576
Phase5.b1.S29,5,Phase5.b1,6281,6281_2024_1,C,PBS,38C,3,3:20 pm,15.33,F,1.75,Tamana,Tunnel,T6,85.86,71.2,1.5,,-0.19923803
Phase5.b1.S3,5,Phase5.b1,4197,4197_2024_1,C,PBS,38C,3,4:07 pm,16.12,F,16.4,Tamana,Rd Chamber,R11,82.6,72.8,4.5,,0.992276639
Phase5.b1.S30,5,Phase5.b1,6281,6281_2024_1,TH,LPS_1,38C,3,3:20 pm,15.33,F,1.75,Tamana,Tunnel,T6,85.86,71.2,1.5,,-0.19923803
Phase5.b1.S31,5,Phase5.b1,6282,6282_2024_1,C,PBS,38C,3,3:30 pm,15.5,F,1.75,Tamana,Tunnel,T6,82.49,69.5,1.5,,-0.533390497
Phase5.b1.S32,5,Phase5.b1,6282,6282_2024_1,TH,LPS_1,38C,3,3:30 pm,15.5,F,1.75,Tamana,Tunnel,T6,82.49,69.5,1.5,,-0.533390497
Phase5.b1.S33,5,Phase5.b1,6321,6321_2024_1,C,PBS,38C,3,4:33 pm,16.55,M,6.46,Tamana,Lg Chamber,L11,79.81,89.5,2.5,B,1.80388083
Phase5.b1.S34,5,Phase5.b1,6321,6321_2024_1,TH,LPS_1,38C,3,4:33 pm,16.55,M,6.46,Tamana,Lg Chamber,L11,79.81,89.5,2.5,B,1.80388083
Phase5.b1.S4,5,Phase5.b1,4197,4197_2024_1,C0,None,38C,0,4:07 pm,16.12,F,16.4,Tamana,Rd Chamber,R11,82.6,72.8,4.5,,0.992276639
Phase5.b1.S5,5,Phase5.b1,4197,4197_2024_1,TH,LPS_1,38C,3,4:07 pm,16.12,F,16.4,Tamana,Rd Chamber,R11,82.6,72.8,4.5,,0.992276639
Phase5.b1.S6,5,Phase5.b1,4610,4610_2024_1,C,PBS,38C,3,2:48 pm,14.8,F,12.98,Tamana,Rd Chamber,R9,83.76,73.5,4.5,,1.544637919
Phase5.b1.S7,5,Phase5.b1,4610,4610_2024_1,TH,LPS_1,38C,3,2:48 pm,14.8,F,12.98,Tamana,Rd Chamber,R9,83.76,73.5,4.5,,1.544637919
Phase5.b1.S8,5,Phase5.b1,4716,4716_2024_1,C,PBS,38C,3,2:14 pm,14.23,F,13.1,Tamana,Rd Chamber,R9,83.89,70.5,4.5,,-0.049832374
Phase5.b1.S9,5,Phase5.b1,4716,4716_2024_1,TH,LPS_1,38C,3,2:14 pm,14.23,F,13.1,Tamana,Rd Chamber,R9,83.89,70.5,4.5,,-0.049832374
Phase5.b2.S1,5,Phase5.b2,6221,6221_2024_1,C,PBS,38C,3,1:22 pm,13.37,F,9.9,IH2,Elevator,NEL1,80.44,75,3.5,,0.369697884
